t[s],U_A,U_B
-10.13706493,0.11658070,1.95471000
-10.13573093,0.11963260,1.95776200
-10.13439693,0.12237920,1.96081400
-10.13306293,0.12512590,1.96539200
-10.13172893,0.12817770,1.96844400
-10.13039493,0.13092440,1.97149600
-10.12906093,0.13367110,1.97607400
-10.12772693,0.13519700,1.97912500
-10.12639293,0.13672290,1.98217700
-10.12505893,0.13794370,1.98522900
-10.12372493,0.13946960,1.98980700
-10.12239093,0.14099550,1.99285900
-10.12105693,0.14221630,1.99591100
-10.11972293,0.14374220,2.00048800
-10.11838893,0.14526810,2.00354000
-10.11705493,0.14648880,2.00659200
-10.11572093,0.14801480,2.01117000
-10.11438693,0.14954070,2.01422200
-10.11305293,0.15076140,2.01727300
-10.11171893,0.15228740,2.02032500
-10.11038493,0.15381330,2.02490300
-10.10905093,0.15503400,2.02795500
-10.10771693,0.15656000,2.03100700
-10.10638293,0.15656000,2.03558500
-10.10504893,0.15808590,2.03863600
-10.10371493,0.15808590,2.04168800
-10.10238093,0.15808590,2.04626600
-10.10104693,0.15930660,2.04931800
-10.09971293,0.16083250,2.05237000
-10.09837893,0.16083250,2.05542200
-10.09704493,0.16235850,2.05999900
-10.09571093,0.16357920,2.06305100
-10.09437693,0.16510510,2.06610300
-10.09304293,0.16663110,2.07068100
-10.09170893,0.16785180,2.07373300
-10.09037493,0.16785180,2.07678500
-10.08904093,0.16785180,2.08136200
-10.08770693,0.16785180,2.08441400
-10.08637293,0.16785180,2.08746600
-10.08503893,0.16785180,2.09051800
-10.08370493,0.16785180,2.09509600
-10.08237093,0.16785180,2.09814800
-10.08103693,0.16785180,2.10119900
-10.07970293,0.16785180,2.10577700
-10.07836893,0.16937770,2.10882900
-10.07703493,0.16937770,2.11188100
-10.07570093,0.16937770,2.11645900
-10.07436693,0.17090370,2.11951000
-10.07303293,0.17090370,2.12256200
-10.07169893,0.17090370,2.12561400
-10.07036493,0.17090370,2.13019200
-10.06903093,0.17090370,2.13324400
-10.06769693,0.17090370,2.13629600
-10.06636293,0.17090370,2.14087300
-10.06502893,0.17090370,2.14392500
-10.06369493,0.17090370,2.14697700
-10.06236093,0.17090370,2.15155500
-10.06102693,0.17090370,2.15460700
-10.05969293,0.17090370,2.15765900
-10.05835893,0.17090370,2.16071100
-10.05702493,0.17090370,2.16528800
-10.05569093,0.17090370,2.16834000
-10.05435693,0.17090370,2.10577700
-10.05302293,0.17090370,1.98370300
-10.05168893,0.17212440,1.86315500
-10.05035493,0.17212440,1.74108100
-10.04902093,0.17212440,1.62053300
-10.04768693,0.17212440,1.49845900
-10.04635293,0.17212440,1.37943700
-10.04501893,0.17212440,1.25736300
-10.04368493,0.17212440,1.13834000
-10.04235093,0.17212440,1.01931800
-10.04101693,0.17212440,0.89724420
-10.03968293,0.17212440,0.77669610
-10.03834893,0.17212440,0.65614800
-10.03701493,0.17212440,0.54322950
-10.03568093,0.17212440,0.54780730
-10.03434693,0.17365030,0.55085910
-10.03301293,0.17365030,0.55391100
-10.03167893,0.17517620,0.55848870
-10.03034493,0.17639700,0.56154060
-10.02901093,0.17639700,0.56459240
-10.02767693,0.17639700,0.56917020
-10.02634293,0.17639700,0.57222210
-10.02500893,0.17639700,0.57527390
-10.02367493,0.17639700,0.57832570
-10.02234093,0.17639700,0.58290360
-10.02100693,0.17639700,0.58595540
-10.01967293,0.17792290,0.59205910
-10.01833893,0.17792290,0.59663690
-10.01700493,0.17792290,0.59968870
-10.01567093,0.17944880,0.60426650
-10.01433693,0.17944880,0.60884430
-10.01300293,0.18066960,0.61342200
-10.01166893,0.18219550,0.61952580
-10.01033493,0.18372140,0.62257760
-10.00900093,0.18372140,0.62715540
-10.00766693,0.18372140,0.63173320
-10.00633293,0.18219550,0.63478500
-10.00499893,0.18372140,0.63936280
-10.00366493,0.18494220,0.64088880
-10.00233093,0.18494220,0.64394060
-10.00099693,0.18494220,0.64699240
-9.99966293,0.18494220,0.65157020
-9.99832893,0.18494220,0.65462200
-9.99699493,0.18494220,0.65767380
-9.99566093,0.18646810,0.66225170
-9.99432693,0.18799400,0.66530350
-9.99299293,0.18921480,0.66988120
