t[s],U_A,U_B
-10.13670158,0.17212440,0.60426650
-10.13536758,0.17212440,0.60884430
-10.13403358,0.17212440,0.61189610
-10.13269958,0.17212440,0.61799980
-10.13136558,0.17212440,0.62105170
-10.13003158,0.17212440,0.62410350
-10.12869758,0.17212440,0.62868130
-10.12736358,0.17365030,0.63325910
-10.12602958,0.17365030,0.63936280
-10.12469558,0.17365030,0.64394060
-10.12336158,0.17365030,0.64851830
-10.12202758,0.17517620,0.65309610
-10.12069358,0.17517620,0.65614800
-10.11935958,0.17639700,0.65919980
-10.11802558,0.17639700,0.66530350
-10.11669158,0.17639700,0.66835530
-10.11535758,0.17639700,0.67445900
-10.11402358,0.17639700,0.67751100
-10.11268958,0.17639700,0.68056280
-10.11135558,0.17639700,0.68361460
-10.11002158,0.17639700,0.68819240
-10.10868758,0.17792290,0.68971840
-10.10735358,0.17792290,0.69429610
-10.10601958,0.17792290,0.70039980
-10.10468558,0.17792290,0.70497760
-10.10335158,0.17792290,0.71108130
-10.10201758,0.17792290,0.71413310
-10.10068358,0.17792290,0.71718500
-10.09934958,0.17792290,0.72176280
-10.09801558,0.17944880,0.72634050
-10.09668158,0.17944880,0.72939240
-10.09534758,0.17944880,0.73397020
-10.09401358,0.17944880,0.73854800
-10.09267958,0.17944880,0.74007390
-10.09134558,0.17944880,0.74617760
-10.09001158,0.17944880,0.75075540
-10.08867758,0.17944880,0.75685910
-10.08734358,0.17944880,0.76143680
-10.08600958,0.17944880,0.76448860
-10.08467558,0.17944880,0.77059240
-10.08334158,0.17944880,0.77364420
-10.08200758,0.17792290,0.77974790
-10.08067358,0.17792290,0.78279980
-10.07933958,0.17944880,0.78737760
-10.07800558,0.17944880,0.79348120
-10.07667158,0.18066960,0.79653310
-10.07533758,0.18066960,0.79958500
-10.07400358,0.18066960,0.80416270
-10.07266958,0.18066960,0.80721460
-10.07133558,0.18066960,0.81026640
-10.07000158,0.18219550,0.81484430
-10.06866758,0.18219550,0.81789610
-10.06733358,0.18219550,0.82094790
-10.06599958,0.18372140,0.82705160
-10.06466558,0.18494220,0.83010350
-10.06333158,0.18646810,0.83315530
-10.06199758,0.18799400,0.83620720
-10.06066358,0.18921480,0.84231080
-10.05932958,0.19074070,0.84536270
-10.05799558,0.19226660,0.84841460
-10.05666158,0.19226660,0.85299230
-10.05532758,0.19348730,0.85604420
-10.05399358,0.19348730,0.85909610
-10.05265958,0.19348730,0.86367380
-10.05132558,0.19501330,0.86672570
-10.04999158,0.19653920,0.86977750
-10.04865758,0.19653920,0.87435530
-10.04732358,0.19775990,0.87740710
-10.04598958,0.19928590,0.88045900
-10.04465558,0.19928590,0.88351080
-10.04332158,0.20081180,0.88961450
-10.04198758,0.20081180,0.89266650
-10.04065358,0.20081180,0.89571830
-10.03931958,0.20081180,0.90029600
-10.03798558,0.20081180,0.90334780
-10.03665158,0.20081180,0.90945160
-10.03531758,0.20081180,0.91250350
-10.03398358,0.19928590,0.91555530
-10.03264958,0.20081180,0.91860710
-10.03131558,0.20081180,0.92318490
-10.02998158,0.20203250,0.92623670
-10.02864758,0.20203250,0.92928860
-10.02731358,0.20355850,0.93386640
-10.02597958,0.20508440,0.93691830
-10.02464558,0.20508440,0.93997010
-10.02331158,0.20355850,0.94454790
-10.02197758,0.20508440,0.94759970
-10.02064358,0.20508440,0.95065150
