t[s],U_A,U_B
-10.13706493,0.17517620,-0.00305185
-10.13573093,0.17517620,-0.00305185
-10.13439693,0.17517620,-0.00305185
-10.13306293,0.17517620,-0.00305185
-10.13172893,0.17517620,-0.00305185
-10.13039493,0.17517620,-0.00305185
-10.12906093,0.17517620,-0.00305185
-10.12772693,0.17517620,0.05188147
-10.12639293,0.17517620,0.17548140
-10.12505893,0.17517620,0.29908140
-10.12372493,0.17517620,0.42268130
-10.12239093,0.17517620,0.54628130
-10.12105693,0.17517620,0.54628130
-10.11972293,0.17517620,0.54628130
-10.11838893,0.17517620,0.54628130
-10.11705493,0.17517620,0.54628130
-10.11572093,0.17517620,0.54628130
-10.11438693,0.17517620,0.54628130
-10.11305293,0.17517620,0.54628130
-10.11171893,0.17517620,0.54628130
-10.11038493,0.17517620,0.54628130
-10.10905093,0.17517620,0.54628130
-10.10771693,0.17517620,0.54628130
-10.10638293,0.17517620,0.54628130
-10.10504893,0.17517620,0.54628130
-10.10371493,0.17517620,0.54628130
-10.10238093,0.17517620,0.54628130
-10.10104693,0.17517620,0.54628130
-10.09971293,0.17517620,0.54628130
-10.09837893,0.17517620,0.54628130
-10.09704493,0.17517620,0.54628130
-10.09571093,0.17517620,0.54628130
-10.09437693,0.17517620,0.54628130
-10.09304293,0.17517620,0.54628130
-10.09170893,0.17517620,0.54628130
-10.09037493,0.17517620,0.54628130
-10.08904093,0.17517620,0.54628130
-10.08770693,0.17517620,0.54628130
-10.08637293,0.17517620,0.54628130
-10.08503893,0.17517620,0.54628130
-10.08370493,0.17517620,0.54628130
-10.08237093,0.17517620,0.54628130
-10.08103693,0.17517620,0.54628130
-10.07970293,0.17517620,0.54628130
-10.07836893,0.17517620,0.54628130
-10.07703493,0.17517620,0.54628130
-10.07570093,0.17517620,0.54628130
-10.07436693,0.17517620,0.54780730
-10.07303293,0.17517620,0.54780730
-10.07169893,0.17517620,0.54780730
-10.07036493,0.17517620,0.54780730
-10.06903093,0.17517620,0.54780730
-10.06769693,0.17517620,0.54933320
-10.06636293,0.17517620,0.54933320
-10.06502893,0.17517620,0.54933320
-10.06369493,0.17517620,0.55085910
-10.06236093,0.17517620,0.55085910
-10.06102693,0.17517620,0.55085910
-10.05969293,0.17517620,0.55085910
-10.05835893,0.17517620,0.55391100
-10.05702493,0.17517620,0.55391100
-10.05569093,0.17517620,0.55543680
-10.05435693,0.17517620,0.55696280
-10.05302293,0.17517620,0.55696280
-10.05168893,0.17517620,0.55696280
-10.05035493,0.17517620,0.55696280
-10.04902093,0.17517620,0.55696280
-10.04768693,0.17517620,0.55848870
-10.04635293,0.17517620,0.56001470
-10.04501893,0.17517620,0.56001470
-10.04368493,0.17517620,0.56154060
-10.04235093,0.17517620,0.56154060
-10.04101693,0.17517620,0.56154060
-10.03968293,0.17517620,0.56306650
-10.03834893,0.17517620,0.56611840
-10.03701493,0.17517620,0.56764430
-10.03568093,0.17517620,0.56917020
-10.03434693,0.17517620,0.56917020
-10.03301293,0.17517620,0.57069610
-10.03167893,0.17517620,0.57222210
-10.03034493,0.17517620,0.57679990
-10.02901093,0.17517620,0.57679990
-10.02767693,0.17517620,0.57832570
-10.02634293,0.17517620,0.57985170
-10.02500893,0.17517620,0.58137760
-10.02367493,0.17517620,0.58290360
-10.02234093,0.17517620,0.58290360
-10.02100693,0.17517620,0.58442940
-10.01967293,0.17517620,0.58595540
-10.01833893,0.17517620,0.58900730
-10.01700493,0.17517620,0.59053310
-10.01567093,0.17517620,0.59205910
-10.01433693,0.17517620,0.59358500
-10.01300293,0.17517620,0.59511100
-10.01166893,0.17517620,0.59511100
-10.01033493,0.17517620,0.59663690
-10.00900093,0.17517620,0.59968870
-10.00766693,0.17517620,0.60121460
-10.00633293,0.17517620,0.60274060
-10.00499893,0.17517620,0.60426650
-10.00366493,0.17517620,0.60579240
-10.00233093,0.17517620,0.60731830
-10.00099693,0.17517620,0.60884430
-9.99966293,0.17517620,0.61189610
-9.99832893,0.26551100,0.61342200
-9.99699493,0.45899840,0.61494800
-9.99566093,0.65187540,0.61647390
-9.99432693,0.84780420,0.61799980
-9.99299293,1.04129200,0.61952580
-9.99165893,1.03824000,0.62257760
-9.99032493,1.03274600,0.62410350
-9.98899093,1.02969500,0.62562940
-9.98765693,1.02725300,0.62715540
-9.98632293,1.02420100,0.62868130
