t[s],p1[mbar],p2[mbar]
0,1000,1000
10,1000,1000
20,850,1000
30,390,1000
40,233,1000
50,153,1000
60,106,1000
70,78.4,1000
80,58.2,1000
90,44.6,1000
100,35.1,580
110,27.5,370
120,22.6,262
130,18.3,202
140,15.3,164
150,12.8,137
160,10.6,116
170,9.08,102
180,7.73,89.0
190,6.57,76.2
200,5.76,70.1
210,5.00,64.1
220,4.36,58.6
230,3.84,53.5
240,3.43,48.7
250,3.00,45.3
260,2.76,43.0
270,2.49,40.6
280,2.24,38.2
290,2.05,36.0
300,1.87,34.0
310,1.72,32.1
320,1.60,30.3
330,1.46,29.1
340,1.38,28.0
350,1.29,26.9
360,1.21,25.9
370,1.13,25.0
380,1.06,24.0
390,1.00,23.2
400,0.945,22.3
410,0.888,21.5
420,0.837,20.7
430,0.796,20.0
440,0.755,19.2
450,0.719,18.7
460,0.681,18.2
470,0.649,17.7
480,0.615,17.3
