t[s],p[mbar]
20,8.24e-3
35,1.60e-3
50,6.76e-4
60,3.76e-4
70,3.52e-4
80,3.35e-4
90,3.22e-4
100,3.11e-4
110,3.02e-4
120,2.99e-4
130,2.86e-4
140,2.78e-4
150,2.72e-4
160,2.67e-4
170,2.61e-4
180,2.56e-4
190,2.53e-4
200,2.47e-4
210,2.44e-4
220,2.39e-4
230,2.36e-4
240,2.32e-4
250,2.28e-4
260,2.26e-4
270,2.22e-4
280,2.20e-4
290,2.16e-4
300,2.14e-4
310,2.11e-4
320,2.09e-4
330,2.06e-4
340,2.04e-4
350,2.02e-4
360,2.01e-4
370,1.98e-4
380,1.96e-4
390,1.94e-4
400,1.92e-4
410,1.90e-4
420,1.88e-4
450,1.79e-4
480,1.71e-4
510,1.64e-4
540,1.57e-4
570,1.51e-4
600,1.46e-4
630,1.41e-4
660,1.37e-4
690,1.33e-4
720,1.30e-4
750,1.27e-4
780,1.24e-4
810,1.21e-4
840,1.18e-4
870,1.17e-4
900,1.14e-4
930,1.12e-4
960,1.10e-4
990,1.08e-4
